🔒 Row ID,name,category,address,coordinates,phone­_number,yandex_map_link,gasoline,ai-80,ai-91,ai-92,ai-95,ai-98,diesel,working_hours,wc,wifi,shop,cafe,parking,car_wash,tire_service,created_by_email,created_by_name,creation_date,gas,methane,propane,praying_room,electric_charging
5C1FDZ2iQWqR70TIKDl8jw,Tatneft,АЗС,"ул. Коратош, 8A","41.315387, 69.234978",+998 5550 128 88,https://yandex.uz/maps/-/CDTLVDy1,true,true,true,true,true,true,false,24/7,true,true,true,true,true,true,true,ozhiganovavar@gmail.com,Ozhiganova Varya,10.3.2024,,,,,
OVf.Hb6hRUOzW1fcacYDWQ,Arena Petrol & Cng,АЗС,"ул. Корасув, 9А","41.300464, 69.342896",+998 99 200 00 55,https://yandex.uz/maps/-/CDTLb605,true,true,,true,true,,true,24/7,true,,true,true,,true,true,ozhiganovavar@gmail.com,Ozhiganova Varya,10.3.2024,true,true,true,,
1rSaZ5DASz-nFMtr59LONQ,BRC,АЗС,"Ташкент, Яшнободский район, махаллинский сход граждан Олмос","41.272970, 69.362939",Нет информации,https://yandex.uz/maps/-/CDTLz29J,true,,,,,,,24/7,true,,true,true,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.3.2024,true,true,true,,
t9ByEHyhTPCm.AUwsUNPsw,Fath oil,АЗС,"Ташкент, ул. Махтумкули, 73","41.304454, 69.312375",+998 71 207 86 88,https://yandex.uz/maps/-/CDTLfB05,true,,,true,true,,,24/7,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.3.2024,,,,,
oKPLku5GR7yzFdqysCzupA,Poytaxt oil/Sun Petrol,АЗС,"Ташкент, Яшнабадский район, махалля Дустобод","41.301674, 69.342468",Нет информации,https://yandex.uz/maps/-/CDTLbI7h,true,true,true,,true,,,24/7,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.3.2024,,,,,
5iW-Ukc2S6OL6NL4j32lZg,Petrol Exclusive,АЗС,"Ташкент, Яшнободский район, махаллинский сход граждан Дустобод","41.299707, 69.342560",Нет информации,https://yandex.uz/maps/-/CDTLb4OE,true,true,,true,true,,true,24/7,true,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.3.2024,,,,,
tjhZjOd.SjyX67GWUZzwRA,Petrol Business,АЗС,"Ташкент, Яшнободский район, просп. Ахангаран, 106","41.283879, 69.361338",+998 71 298 38 88,https://yandex.uz/maps/-/CDTLfGlU,true,,,,,,,24/7,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.3.2024,,,,,
VNIbK.bkT8uqGpD3D4bA7g,UNG Petro,АЗС,"Ташкент, Новый Ташкентский район, населённый пункт Барданкуль","41.254798, 69.384138",Нет информации,https://yandex.uz/maps/-/CDTPAZJx,true,,,true,,,,24/7,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.4.2024,,,,,
OX2tmSwEQLOkKJhVK8LK2A,АЗС,АЗС,"Ташкент, Бектемирский район, махаллинский сход граждан Мажнунтол","41.246607, 69.391663",Нет информации,https://yandex.uz/maps/-/CDTPA-O1,true,,,,,,,24/7,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.4.2024,,,,,
Ilh1wmeeQnqFKwgdGmrwWQ,МЕТАН,АЗС,"Ташкент, Бектемирский район, махаллинский сход граждан Мажнунтол","41.246099, 69.392291",Нет информации,https://yandex.uz/maps/-/CDTPES9K,,,,,,,,24/7,,,true,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.4.2024,true,true,false,,
